Id,LotArea,1stFlrSF,2ndFlrSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,SalePrice
1,8450,856,854,1710,3,1,208500
2,9600,1262,0,1262,3,1,181500
3,11250,920,866,1786,3,1,223500
4,9550,961,756,1717,3,1,140000
5,14260,1145,1053,2198,4,1,250000
6,14115,796,566,1362,1,1,143000
7,10084,1694,0,1694,3,1,307000
8,10382,1107,983,2090,3,1,200000
9,6120,1022,752,1774,2,2,129900
10,7420,1077,0,1077,2,2,118000
11,11200,1040,0,1040,3,1,129500
12,11924,1182,1142,2324,4,1,345000
13,12968,912,0,912,2,1,144000
14,10652,1494,0,1494,3,1,279500
15,10920,1253,0,1253,2,1,157000
16,6120,854,0,854,2,1,132000
17,11241,1004,0,1004,2,1,149000
18,10791,1296,0,1296,2,2,90000
19,13695,1114,0,1114,3,1,159000
20,7560,1339,0,1339,3,1,139000
21,14215,1158,1218,2376,4,1,325300
22,7449,1108,0,1108,3,1,139400
23,9742,1795,0,1795,3,1,230000
24,4224,1060,0,1060,3,1,129900
25,8246,1060,0,1060,3,1,154000
26,14230,1600,0,1600,3,1,256300
27,7200,900,0,900,3,1,134800
28,11478,1704,0,1704,3,1,306000
29,16321,1600,0,1600,2,1,207500
30,6324,520,0,520,1,1,68500
31,8500,649,668,1317,3,1,40000
32,8544,1228,0,1228,3,1,149350
33,11049,1234,0,1234,3,1,179900
34,10552,1700,0,1700,4,1,165500
35,7313,1561,0,1561,2,1,277500
36,13418,1132,1320,2452,4,1,309000
37,10859,1097,0,1097,3,1,145000
38,8532,1297,0,1297,3,1,153000
39,7922,1057,0,1057,3,1,109000
40,6040,1152,0,1152,2,2,82000
41,8658,1324,0,1324,3,1,160000
42,16905,1328,0,1328,2,1,170000
43,9180,884,0,884,2,1,144000
44,9200,938,0,938,3,1,130250
45,7945,1150,0,1150,3,1,141000
46,7658,1752,0,1752,2,1,319900
47,12822,1518,631,2149,1,1,239686
48,11096,1656,0,1656,3,1,249700
49,4456,736,716,1452,2,3,113000
50,7742,955,0,955,3,1,127000
51,13869,794,676,1470,3,1,177000
52,6240,816,0,1176,3,1,114500
53,8472,816,0,816,2,1,110000
54,50271,1842,0,1842,0,1,385000
55,7134,1360,0,1360,3,1,130000
56,10175,1425,0,1425,3,1,180500
57,2645,983,756,1739,3,1,172500
58,11645,860,860,1720,3,1,196500
59,13682,1426,1519,2945,3,1,438780
60,7200,780,0,780,2,1,124900
61,13072,1158,0,1158,3,1,158000
62,7200,581,530,1111,3,1,101000
63,6442,1370,0,1370,2,1,202500
64,10300,902,808,1710,3,1,140000
65,9375,1057,977,2034,3,1,219500
66,9591,1143,1330,2473,4,1,317000
67,19900,2207,0,2207,3,1,180000
68,10665,1479,0,1479,3,1,226000
69,4608,747,0,747,2,1,80000
70,15593,1304,983,2287,3,1,225000
71,13651,2223,0,2223,3,1,244000
72,7599,845,0,845,2,1,129500
73,10141,885,833,1718,3,1,185000
74,10200,1086,0,1086,3,1,144900
75,5790,840,765,1605,3,2,107400
76,1596,526,462,988,2,1,91000
77,8475,952,0,952,2,1,135750
78,8635,1072,213,1285,2,1,127000
79,10778,1768,0,1768,4,2,136500
